country,country_code,state_abbr,state,company_name,address,street_name
United States,US,DC,District of Columbia,CNH Industrial N.V.,9476 Di Loreto Terrace,Pond
United States,US,OH,Ohio,Trillium Therapeutics Inc.,434 Stone Corner Park,Pleasure
United States,US,CA,California,Analogic Corporation,6291 Sunfield Avenue,Hanover
United States,US,DE,Delaware,Psychemedics Corporation,5 Bonner Circle,Milwaukee
United States,US,NY,New York,Ducommun Incorporated,809 Summit Court,Bonner
United States,US,PA,Pennsylvania,Huntington Bancshares Incorporated,60381 Gateway Parkway,Russell
United States,US,VA,Virginia,Pershing Gold Corporation,3 Marquette Road,Bunting
United States,US,SC,South Carolina,Edison International,0 Marquette Junction,Esker
United States,US,IL,Illinois,"Assurant, Inc.",379 Brentwood Junction,Norway Maple
United States,US,MO,Missouri,New Age Beverages Corporation,952 Dottie Junction,Sachtjen
United States,US,TX,Texas,"BioLife Solutions, Inc.",09 Grim Pass,Hooker
United States,US,CO,Colorado,Stone Energy Corporation,32 David Place,Maryland
United States,US,TX,Texas,Pitney Bowes Inc.,90 Shelley Circle,Anthes
United States,US,WV,West Virginia,"Bassett Furniture Industries, Incorporated",01 Farmco Drive,Mcbride
United States,US,NY,New York,Pacific Special Acquisition Corp.,66284 Dawn Junction,Superior
United States,US,CA,California,BLDRS Europe 100 ADR Index Fund,607 Buena Vista Point,Columbus
United States,US,PA,Pennsylvania,Canadian National Railway Company,0827 Elgar Street,4th
United States,US,DC,District of Columbia,"Hudson Technologies, Inc.",1 Muir Hill,Manufacturers
United States,US,TN,Tennessee,PBF Energy Inc.,98 Kennedy Lane,Lakewood
United States,US,MN,Minnesota,"Nu Skin Enterprises, Inc.",263 Rusk Crossing,Loftsgordon
United States,US,TX,Texas,U.S. Bancorp,3080 Autumn Leaf Trail,Sycamore
United States,US,CO,Colorado,Dover Downs Gaming & Entertainment Inc,1587 Drewry Hill,Northview
United States,US,OR,Oregon,"Investors Bancorp, Inc.",3 Kenwood Center,Michigan
United States,US,OK,Oklahoma,Unico American Corporation,0712 Fieldstone Park,Sullivan
United States,US,TX,Texas,Capital Southwest Corporation,7750 Transport Place,Marcy
United States,US,CA,California,"Fiserv, Inc.",65321 Morning Avenue,Clove
United States,US,TX,Texas,Wright Medical Group N.V.,7181 Ridgeview Parkway,Clemons
United States,US,CA,California,Kitov Pharmaceuticals Holdings Ltd.,4 Eastlawn Trail,Cascade
United States,US,CA,California,Acco Brands Corporation,77 Blaine Place,Caliangt
United States,US,TX,Texas,First Trust Global Tactical Commodity Strategy Fund,3 Ohio Terrace,Sugar
United States,US,VA,Virginia,"Global Ship Lease, Inc.",47887 Kennedy Street,Acker
United States,US,MI,Michigan,"Xilinx, Inc.",5 Clarendon Way,Hintze
United States,US,NY,New York,"Wheeler Real Estate Investment Trust, Inc.",3 Vernon Road,Pierstorff
United States,US,OH,Ohio,Orthofix International N.V.,1115 Bunker Hill Court,Del Sol
United States,US,OH,Ohio,Navigator Holdings Ltd.,76 Corben Way,Memorial
United States,US,NV,Nevada,PowerShares DWA NASDAQ Momentum Portfolio,3 Northport Terrace,Dakota
United States,US,AR,Arkansas,Global Sources Ltd.,69 Kennedy Alley,Crescent Oaks
United States,US,MN,Minnesota,United States Cellular Corporation,162 Lerdahl Trail,Straubel
United States,US,OH,Ohio,L.B. Foster Company,68 Lillian Parkway,Steensland
United States,US,AZ,Arizona,Mesa Royalty Trust,284 Upham Court,Waxwing
United States,US,IL,Illinois,Aflac Incorporated,084 Thompson Street,Sunbrook
United States,US,NV,Nevada,Icahn Enterprises L.P.,5 Loeprich Way,Dovetail
United States,US,AZ,Arizona,First Financial Bancorp.,20760 Tennessee Way,Waubesa
United States,US,MD,Maryland,"Chiasma, Inc.",388 Clove Way,Manufacturers
United States,US,OH,Ohio,"Alon USA Energy, Inc.",04186 Sutteridge Plaza,Garrison
United States,US,WA,Washington,Numerex Corp.,54738 Donald Court,Delladonna
United States,US,MA,Massachusetts,OMNOVA Solutions Inc.,93343 Sutherland Crossing,Monica
United States,US,TX,Texas,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,7891 Russell Circle,Doe Crossing
United States,US,OH,Ohio,"Ventas, Inc.",1 Emmet Drive,Grayhawk
United States,US,LA,Louisiana,DoubleLine Opportunistic Credit Fund,47327 Steensland Avenue,Bultman
United States,US,TX,Texas,XOMA Corporation,70 Norway Maple Circle,Dennis
United States,US,DC,District of Columbia,Brookfield Global Listed Infrastructure Income Fund,9 Clemons Terrace,Lighthouse Bay
United States,US,WA,Washington,Diversified Real Asset Income Fund,64646 Saint Paul Street,Northridge
United States,US,DC,District of Columbia,"Archrock, Inc.",8 Pearson Court,Sommers
United States,US,UT,Utah,Transocean Ltd.,3 Graceland Point,Maryland
United States,US,CA,California,Comp En De Mn Cemig ADS,796 Menomonie Parkway,Twin Pines
United States,US,TX,Texas,"Rennova Health, Inc.",7 Bowman Avenue,Lakewood
United States,US,TX,Texas,"Interface, Inc.",8115 Blaine Parkway,Vernon
United States,US,AR,Arkansas,FinTech Acquisition Corp. II,13808 Badeau Parkway,Blackbird
United States,US,IL,Illinois,NASDAQ TEST STOCK,2833 Thompson Point,Judy
United States,US,KY,Kentucky,Constellation Brands Inc,03 Utah Way,Ruskin
United States,US,NY,New York,Toll Brothers Inc.,1 Evergreen Plaza,Spaight
United States,US,WA,Washington,"First Financial Northwest, Inc.",31543 American Ash Place,Knutson
United States,US,DC,District of Columbia,Gafisa SA,025 Farwell Avenue,Coleman
United States,US,DC,District of Columbia,Access National Corporation,69002 Derek Park,Center
United States,US,AL,Alabama,Sprint Corporation,03118 Maryland Park,Manufacturers
United States,US,MN,Minnesota,"Aclaris Therapeutics, Inc.",12 Colorado Drive,Glacier Hill
United States,US,OR,Oregon,"Dime Community Bancshares, Inc.",7000 Union Road,Bonner
United States,US,PA,Pennsylvania,State Street Corporation,19868 Mariners Cove Trail,Hoard
United States,US,AL,Alabama,PowerShares S&P SmallCap Financials Portfolio,59 Amoth Way,Farmco
United States,US,ID,Idaho,"Okta, Inc.",5245 High Crossing Drive,Delaware
United States,US,UT,Utah,Zhaopin Limited,138 Crescent Oaks Avenue,Burrows
United States,US,KY,Kentucky,Liberty Media Corporation,14138 Shopko Lane,Bluestem
United States,US,AZ,Arizona,Ambev S.A.,861 Heffernan Street,Maywood
United States,US,OK,Oklahoma,Balchem Corporation,6043 Forest Run Circle,Randy
United States,US,TX,Texas,CNH Industrial N.V.,05 Bonner Drive,Welch
United States,US,CA,California,ConocoPhillips,21 Waubesa Street,John Wall
United States,US,IL,Illinois,Allstate Corporation (The),73 Prentice Center,Badeau
United States,US,NY,New York,Forward Pharma A/S,1862 Elgar Park,Packers
United States,US,PA,Pennsylvania,"Micronet Enertec Technologies, Inc.",289 Granby Road,Dexter
United States,US,CA,California,Qwest Corporation,71 La Follette Terrace,Carey
United States,US,KY,Kentucky,"Cellectar Biosciences, Inc.",1232 Magdeline Court,Saint Paul
United States,US,CA,California,TPG Pace Energy Holdings Corp.,747 Utah Trail,Harbort
United States,US,NY,New York,Cabot Corporation,1018 Superior Lane,Hauk
United States,US,OH,Ohio,Oxbridge Re Holdings Limited,62593 Transport Place,Fuller
United States,US,TX,Texas,V.F. Corporation,50 Westridge Trail,Annamark
United States,US,DC,District of Columbia,Brown Forman Corporation,9171 Elmside Street,Prairieview
United States,US,MA,Massachusetts,"Second Sight Medical Products, Inc.",99811 Briar Crest Alley,Dawn
United States,US,FL,Florida,Davis Select U.S. Equity ETF,6782 Hauk Court,Northridge
United States,US,TN,Tennessee,"Atlas Financial Holdings, Inc.",02348 Upham Road,South
United States,US,NY,New York,"Barracuda Networks, Inc.",030 Gulseth Drive,Di Loreto
United States,US,CO,Colorado,PIMCO California Municipal Income Fund,69242 Amoth Street,Green Ridge
United States,US,FL,Florida,Nuveen New York AMT-Free Quality Municipal,6 Garrison Place,Tennessee
United States,US,OH,Ohio,Eaton Vance Senior Income Trust,5224 Russell Road,Stuart
United States,US,WV,West Virginia,Standex International Corporation,38 Anthes Pass,Warner
United States,US,NY,New York,"Digiliti Money Group, Inc.",874 Hoepker Terrace,Hooker
United States,US,OH,Ohio,Genesco Inc.,632 Luster Crossing,Eagan
United States,US,VA,Virginia,"RF Industries, Ltd.",0435 Stang Park,Ilene
United States,US,NC,North Carolina,"PowerShares QQQ Trust, Series 1",9513 Grover Terrace,Cherokee
United States,US,GA,Georgia,"Global Net Lease, Inc.",7769 Menomonie Alley,Laurel
United States,US,FL,Florida,Fair Isaac Corporation,04895 Warrior Court,Alpine
United States,US,CA,California,PIMCO Dynamic Credit and Mortgage Income Fund,9 Judy Place,Shasta
United States,US,NC,North Carolina,Axar Acquisition Corp.,39 Monterey Center,Old Shore
United States,US,CA,California,PowerShares KBW Regional Banking Portfolio,1684 Browning Junction,Logan
United States,US,ID,Idaho,The AES Corporation,84 Oxford Trail,Steensland
United States,US,NY,New York,"MidWestOne Financial Group, Inc.",7 Eastlawn Circle,Hanover
United States,US,MI,Michigan,Pioneer Municipal High Income Trust,276 Rockefeller Street,Swallow
United States,US,CA,California,DLH Holdings Corp.,82 Nova Way,Mariners Cove
United States,US,FL,Florida,"Fusion Telecommunications International, Inc.",1721 Eastlawn Drive,Monument
United States,US,SC,South Carolina,JMP Group LLC,0 Gina Plaza,Starling
United States,US,PA,Pennsylvania,Brookfield Asset Management Inc,42 Merrick Pass,Forest Run
United States,US,TN,Tennessee,"Exelixis, Inc.",80668 Fallview Plaza,School
United States,US,AL,Alabama,China Mobile (Hong Kong) Ltd.,0966 Corry Avenue,Mayfield
United States,US,NV,Nevada,Avista Healthcare Public Acquisition Corp.,5 Fulton Avenue,Northfield
United States,US,VA,Virginia,ObsEva SA,5 Nelson Crossing,Oriole
United States,US,NY,New York,First Merchants Corporation,79961 Summerview Street,Tennessee
United States,US,PA,Pennsylvania,"Gener8 Maritime, Inc.",2393 Northfield Parkway,Chive
United States,US,CA,California,Seagate Technology PLC,58073 Morningstar Avenue,Burrows
United States,US,FL,Florida,U.S. Bancorp,33 Fair Oaks Point,Jenifer
United States,US,MO,Missouri,Cardiome Pharma Corporation,62 Hanover Center,Annamark
United States,US,DC,District of Columbia,Eaton Vance Municipal Income 2028 Term Trust,119 Oak Crossing,Portage
United States,US,CA,California,Summit State Bank,14 Carey Plaza,Hoard
United States,US,LA,Louisiana,Lincoln National Corporation,0618 Bonner Trail,Havey
United States,US,TX,Texas,"PT Telekomunikasi Indonesia, Tbk",45202 Eagle Crest Avenue,Dahle
United States,US,MI,Michigan,VCA Inc. ,5 Grim Way,Village
United States,US,VA,Virginia,GMS Inc.,26218 3rd Park,Hansons
United States,US,UT,Utah,TravelCenters of America LLC,47672 Gulseth Park,Oakridge
United States,US,TX,Texas,"CatchMark Timber Trust, Inc.",97480 Gina Crossing,Lawn
United States,US,CA,California,"Fuwei Films (Holdings) Co., Ltd.",69662 Mallard Avenue,Gale
United States,US,CA,California,First Community Corporation,4363 Ludington Junction,Arapahoe
United States,US,TN,Tennessee,Bank of America Corporation,2 Petterle Lane,Rowland
United States,US,DC,District of Columbia,BLDRS Asia 50 ADR Index Fund,386 Toban Parkway,Debra
United States,US,CT,Connecticut,W.R. Grace & Co.,96059 Mitchell Trail,Duke
United States,US,PA,Pennsylvania,Inotek Pharmaceuticals Corporation,56369 Riverside Junction,Huxley
United States,US,PA,Pennsylvania,Central Federal Corporation,77819 Sunnyside Parkway,Main
United States,US,AR,Arkansas,LCNB Corporation,8605 Sloan Parkway,Stuart
United States,US,IN,Indiana,"Ulta Beauty, Inc.",1 Golden Leaf Street,Banding
United States,US,IN,Indiana,BB&T Corporation,2800 Schlimgen Junction,Lighthouse Bay
United States,US,MO,Missouri,"Aviat Networks, Inc.",6445 Blaine Park,Fairfield
United States,US,MN,Minnesota,"A V Homes, Inc.",96202 Messerschmidt Pass,Briar Crest
United States,US,DC,District of Columbia,United States Steel Corporation,0 Dovetail Lane,Norway Maple
United States,US,WV,West Virginia,Container Store (The),79 Sundown Road,Caliangt
United States,US,FL,Florida,"NuVasive, Inc.",42 Farragut Center,Delaware
United States,US,PA,Pennsylvania,"Charles River Laboratories International, Inc.",46292 Veith Avenue,Gateway
United States,US,NJ,New Jersey,MiX Telematics Limited,1 1st Junction,Prairie Rose
United States,US,SC,South Carolina,SLM Corporation,6 Marcy Crossing,Gina
United States,US,KY,Kentucky,"Genomic Health, Inc.",7 Oakridge Junction,Jay
United States,US,LA,Louisiana,"tronc, Inc.",013 Prairie Rose Drive,Pankratz
United States,US,MD,Maryland,"Comstock Resources, Inc.",98 Loomis Point,Spaight
United States,US,WV,West Virginia,WSI Industries Inc.,937 Algoma Junction,Basil
United States,US,AK,Alaska,Embraer-Empresa Brasileira de Aeronautica,2857 Waxwing Plaza,Sundown
United States,US,FL,Florida,Merus Labs International Inc.,18 Merchant Point,Warner
United States,US,MS,Mississippi,Anadarko Petroleum Corporation,62 Roxbury Parkway,Dovetail
United States,US,IL,Illinois,"Western Gas Equity Partners, LP",5778 Maywood Way,Warrior
United States,US,FL,Florida,"Idera Pharmaceuticals, Inc.",02 Pepper Wood Point,Bobwhite
United States,US,MD,Maryland,Hailiang Education Group Inc.,6416 Rowland Court,Moland
United States,US,CA,California,"Sprott Focus Trust, Inc.",18768 Spohn Road,Jay
United States,US,FL,Florida,Clorox Company (The),95 Tennessee Place,Carey
United States,US,ID,Idaho,"Amyris, Inc.",73 Sauthoff Drive,Susan
United States,US,TN,Tennessee,"Fidelity National Financial, Inc.",40 Walton Plaza,Clove
United States,US,NY,New York,Bank of America Corporation,95883 Muir Court,Vera
United States,US,TN,Tennessee,Community Healthcare Trust Incorporated,23218 Meadow Valley Junction,Gateway
United States,US,TX,Texas,"Pulse Biosciences, Inc",566 Kropf Alley,Pankratz
United States,US,GA,Georgia,Ryanair Holdings plc,7 Marquette Lane,Old Shore
United States,US,CA,California,"Oncobiologics, Inc.",12165 Welch Parkway,Pennsylvania
United States,US,GA,Georgia,"Paratek Pharmaceuticals, Inc. ",2 Truax Crossing,Buhler
United States,US,FL,Florida,World Fuel Services Corporation,90106 East Trail,Kinsman
United States,US,MN,Minnesota,Oracle Corporation,62 Mendota Crossing,Dixon
United States,US,TX,Texas,"BeiGene, Ltd.",4 Doe Crossing Circle,Toban
United States,US,OH,Ohio,argenx SE,8553 Brown Drive,Farwell
United States,US,VA,Virginia,"PIMCO Strategic Income Fund, Inc.",482 Sachtjen Center,Boyd
United States,US,NY,New York,"Axcelis Technologies, Inc.",639 Clove Court,Jackson
United States,US,LA,Louisiana,Vanguard Russell 2000 Growth ETF,1 Weeping Birch Hill,Sheridan
United States,US,CO,Colorado,Essent Group Ltd.,09 Muir Road,Continental
United States,US,IN,Indiana,"MACOM Technology Solutions Holdings, Inc.",94 Green Crossing,Acker
United States,US,VA,Virginia,"Culp, Inc.",2006 Lillian Alley,Park Meadow
United States,US,MN,Minnesota,"Moneygram International, Inc.",87939 Arrowood Street,Tennessee
United States,US,TX,Texas,National General Holdings Corp,836 Green Hill,Hanson
United States,US,CT,Connecticut,"GTY Technology Holdings, Inc.",12 David Way,Towne
United States,US,NY,New York,Costamare Inc.,41 Lighthouse Bay Lane,Clove
United States,US,TX,Texas,Nuveen Preferred Income Opportunites Fund,1135 Morrow Drive,Duke
United States,US,OK,Oklahoma,Western Asset Emerging Markets Debt Fund Inc,2 Forest Pass,8th
United States,US,TX,Texas,"Red Robin Gourmet Burgers, Inc.",39424 Harbort Drive,Crownhardt
United States,US,AL,Alabama,"Under Armour, Inc.",7310 Crest Line Crossing,Northport
United States,US,PA,Pennsylvania,Alpha and Omega Semiconductor Limited,071 Mockingbird Street,Golf View
United States,US,WI,Wisconsin,CrossAmerica Partners LP,21 Mandrake Hill,Ramsey
United States,US,IL,Illinois,"Sigma Designs, Inc.",75817 Bluestem Hill,Manufacturers
United States,US,CT,Connecticut,Taitron Components Incorporated,22144 Blackbird Point,2nd
United States,US,DC,District of Columbia,Enel Chile S.A.,3 Nevada Circle,Jackson
United States,US,TX,Texas,"Korea Fund, Inc. (The)",28 Reindahl Circle,Kingsford
United States,US,CO,Colorado,"Bankwell Financial Group, Inc.",88 Esch Terrace,Manley
United States,US,AL,Alabama,"Finjan Holdings, Inc.",54659 Blackbird Center,Blue Bill Park
United States,US,MO,Missouri,Piper Jaffray Companies,36797 Rigney Place,Ridgeway
United States,US,MI,Michigan,Time Inc.,31 Northfield Plaza,Bowman
United States,US,CO,Colorado,Paylocity Holding Corporation,02 Portage Lane,Heffernan
United States,US,PA,Pennsylvania,"Caterpillar, Inc.",069 Texas Center,Clarendon
United States,US,FL,Florida,Diamondrock Hospitality Company,678 Crowley Park,Mcguire
United States,US,IN,Indiana,Grupo Televisa S.A.,81164 Lillian Circle,Delladonna
United States,US,ID,Idaho,"Halyard Health, Inc.",1850 Merrick Plaza,Sullivan
United States,US,PA,Pennsylvania,Teva Pharmaceutical Industries Limited,0 Northwestern Street,Rockefeller
United States,US,NE,Nebraska,Avadel Pharmaceuticals plc,397 Ohio Terrace,Atwood
United States,US,MI,Michigan,Noble Corporation,402 Eliot Circle,Artisan
United States,US,CO,Colorado,Cenveo Inc,367 American Junction,Kinsman
United States,US,MI,Michigan,SVB Financial Group,1217 Bluestem Drive,Clyde Gallagher
United States,US,VA,Virginia,"H&E Equipment Services, Inc.",2346 Harper Plaza,High Crossing
United States,US,FL,Florida,Rocket Fuel Inc.,0 Tomscot Hill,Hermina
United States,US,NJ,New Jersey,Standex International Corporation,0371 Monterey Point,Fair Oaks
United States,US,FL,Florida,"FTI Consulting, Inc.",67628 Mccormick Road,Graedel
United States,US,CA,California,"Blackrock MuniYield Quality Fund III, Inc.",75 Porter Hill,Corben
United States,US,MI,Michigan,Columbus McKinnon Corporation,5 Heath Avenue,Elmside
United States,US,KY,Kentucky,"Mirati Therapeutics, Inc.",23 Summerview Hill,Laurel
United States,US,SC,South Carolina,DAVIDsTEA Inc.,1204 Memorial Terrace,Del Sol
United States,US,CO,Colorado,Hersha Hospitality Trust,934 Upham Avenue,Algoma
United States,US,OH,Ohio,Redhill Biopharma Ltd.,83 Erie Crossing,Sycamore
United States,US,HI,Hawaii,"GenMark Diagnostics, Inc.",28645 Fisk Park,Bashford
United States,US,IA,Iowa,Access National Corporation,597 Del Sol Way,Nelson
United States,US,GA,Georgia,BlueStar TA-BIGITech Israel Technology ETF,09530 Mendota Terrace,Canary
United States,US,NV,Nevada,Solar Senior Capital Ltd.,4598 Coleman Terrace,Mayfield
United States,US,PA,Pennsylvania,BancFirst Corporation,6202 Blaine Drive,Northport
United States,US,FL,Florida,"Hanwha Q CELLS Co., Ltd. ",22 Weeping Birch Place,La Follette
United States,US,CA,California,MB Financial Inc.,848 Cottonwood Trail,Raven
United States,US,NE,Nebraska,Kayne Anderson Energy Development Company,604 Cherokee Plaza,Park Meadow
United States,US,PA,Pennsylvania,Pacific Special Acquisition Corp.,1358 Delladonna Trail,Menomonie
United States,US,CO,Colorado,Verso Corporation,5 Parkside Place,Riverside
United States,US,FL,Florida,M B T Financial Corp,39205 Killdeer Drive,Debra
United States,US,NY,New York,Legg Mason Emerging Markets Diversified Core ETF,516 Waxwing Point,Quincy
United States,US,CA,California,Orbotech Ltd.,2 Mockingbird Plaza,Gerald
United States,US,LA,Louisiana,"Soleno Therapeutics, Inc.",414 Comanche Street,Ludington
United States,US,AZ,Arizona,Deutsche Bank AG,627 Schiller Place,Butternut
United States,US,GA,Georgia,"DWS High Income Opportunities Fund, Inc.",8928 Graceland Park,Cody
United States,US,IA,Iowa,Stellar Acquisition III Inc.,0249 Loeprich Crossing,Londonderry
United States,US,IL,Illinois,"AmTrust Financial Services, Inc.",54 Miller Street,Homewood
United States,US,ID,Idaho,"China Jo-Jo Drugstores, Inc.",3650 Claremont Hill,Lien
United States,US,FL,Florida,EnteroMedics Inc.,01 Mccormick Junction,Forster
United States,US,TX,Texas,"Xilinx, Inc.",14814 Armistice Crossing,Mallory
United States,US,TX,Texas,"Children's Place, Inc. (The)",7 Sachtjen Crossing,Leroy
United States,US,IA,Iowa,"Digital Realty Trust, Inc.",073 Arrowood Court,Thackeray
United States,US,MO,Missouri,Liberty Broadband Corporation,38 Mayfield Court,Magdeline
United States,US,CO,Colorado,"Bojangles', Inc.",71592 Nancy Point,Florence
United States,US,GA,Georgia,Oconee Federal Financial Corp.,582 Riverside Terrace,Leroy
United States,US,MD,Maryland,John Hancock Preferred Income Fund,13 Mayfield Center,Coolidge
United States,US,IN,Indiana,James Hardie Industries plc.,39 Heath Plaza,Sloan
United States,US,FL,Florida,"Vmware, Inc.",090 Schmedeman Lane,Dwight
United States,US,FL,Florida,Immune Pharmaceuticals Inc.,3 Mariners Cove Plaza,Monument
United States,US,DE,Delaware,"Beneficial Bancorp, Inc.",1326 Farragut Parkway,Del Sol
United States,US,FL,Florida,"Novan, Inc.",55071 Homewood Avenue,Commercial
United States,US,FL,Florida,"American Axle & Manufacturing Holdings, Inc.",273 Ludington Avenue,East
United States,US,NY,New York,Chemical Financial Corporation,20 Sunfield Court,Sunfield
United States,US,NJ,New Jersey,"Southside Bancshares, Inc.",7 David Way,Killdeer
United States,US,TX,Texas,"J.C. Penney Company, Inc. Holding Company",4692 Hazelcrest Park,Shoshone
United States,US,TX,Texas,"L3 Technologies, Inc.",30275 Arizona Court,Cambridge
United States,US,UT,Utah,"Perma-Fix Environmental Services, Inc.",77 Loomis Avenue,Eagan
United States,US,KS,Kansas,Public Storage,13523 Carey Court,Service
United States,US,CA,California,MFC Bancorp Ltd.,0 Fairview Point,Lerdahl
United States,US,NC,North Carolina,Express Scripts Holding Company,90520 Browning Street,Cottonwood
United States,US,AL,Alabama,"Worthington Industries, Inc.",5761 Stang Street,Mitchell
United States,US,IA,Iowa,Valley National Bancorp,33265 Ludington Parkway,Pearson
United States,US,CA,California,"Mobile Mini, Inc.",6 Ramsey Alley,Blaine
United States,US,MD,Maryland,John Hancock Income Securities Trust,62 Ridgeview Park,Oakridge
United States,US,FL,Florida,Regal Entertainment Group,3 Jenifer Parkway,Westport
United States,US,TX,Texas,Orion Engineered Carbons S.A,1 Wayridge Circle,Debs
United States,US,CA,California,Gladstone Capital Corporation,25 Shoshone Alley,Boyd
United States,US,WA,Washington,"Republic Services, Inc.",488 Kropf Park,Scofield
United States,US,WI,Wisconsin,Baxter International Inc.,0290 Gina Avenue,Riverside
United States,US,PA,Pennsylvania,"Shoe Carnival, Inc.",37012 Killdeer Alley,Charing Cross
United States,US,WI,Wisconsin,Fortuna Silver Mines Inc.,3807 Moland Place,Rieder
United States,US,MN,Minnesota,Atomera Incorporated,99 Bowman Plaza,Hanson
United States,US,NM,New Mexico,Dr. Reddy's Laboratories Ltd,2714 Linden Park,Pepper Wood
United States,US,KS,Kansas,Eversource Energy,04663 Boyd Hill,Badeau
United States,US,CA,California,"Cadiz, Inc.",96 Mifflin Point,Pennsylvania
United States,US,MA,Massachusetts,"Paycom Software, Inc.",9226 Merchant Center,Prairie Rose
United States,US,TX,Texas,"Select Bancorp, Inc.",506 Talisman Alley,Golden Leaf
United States,US,DC,District of Columbia,Approach Resources Inc.,5266 Hollow Ridge Center,Shoshone
United States,US,MN,Minnesota,"Etsy, Inc.",429 Farwell Hill,Delaware
United States,US,TX,Texas,Mastercard Incorporated,9404 Loeprich Trail,Hanover
United States,US,CA,California,Farmers Capital Bank Corporation,3 Forest Alley,Luster
United States,US,WA,Washington,Black Box Corporation,8478 Towne Way,Graceland
United States,US,KS,Kansas,Citigroup Inc.,086 Goodland Place,Lunder
United States,US,MO,Missouri,"SB Financial Group, Inc.",3663 Russell Circle,Norway Maple
United States,US,VA,Virginia,"Haverty Furniture Companies, Inc.",4283 Brown Plaza,Golf
United States,US,CA,California,Monotype Imaging Holdings Inc.,1 7th Point,Ludington
United States,US,MD,Maryland,"ImmunoGen, Inc.",1690 Talmadge Parkway,Esker
